Country;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Canada;...;4324,4;8763,2;14084,4;16161,9;15035,7;14889,0;15195,1;14511,4;13516,4;12645,9;12366,1;12622,0;13109,7;12523,1;12665,7;11737,4;11592,8;12325,5;11973,1;11276,2;11298,1;11676,7;11746,1;11665,6;12234,3;13000,3;13199,6;13809,6;14386,7;13928,8;14657,6;14481,8;15741,6;17156,8;18280,8;18821,6;19172,8;19591,5;19899,0;19798,4;19779,8;18267,6;18065,9;18020,5;17758,7;16738,0;15370,6;14164,2;14654,0;15286,6;15036,2;15434,9;15513,2;15798,8;16396,7;17117,9;17913,5;19530,4;21047,4;22008,7;19878,4;20550,2;19541,3;18063,6;18358,3;21092,0;21371,8;25816,4;25697,2;25427,5;26296,5;26131,6;25598,0;27227,7;29065,9
United States of America;175907,1;189049,0;404493,1;569793,1;586649,4;506170,9;479135,9;485404,9;499255,4;496293,6;499769,7;487469,3;508088,3;550543,8;543046,5;524941,3;527240,4;623402,9;715710,0;738695,6;706246,2;654512,9;588882,6;588035,6;558825,1;551528,1;521239,2;507060,3;526196,6;529525,2;532564,3;531335,4;591834,6;699941,1;683520,0;718935,0;770711,6;821654,9;814913,2;797866,0;791125,5;758217,3;669786,5;705819,7;668046,7;633319,1;591579,8;559401,2;556507,3;543941,3;545279,8;566381,0;570981,0;641102,5;729680,6;795293,5;831923,9;843911,7;866430,5;929457,8;1002596,4;1031257,1;1019045,9;962443,2;888413,2;833765,0;814831,4;812331,0;803961,2;828158,3;875217,4;916416,6;906594,3;896121,2;916014,7;968381,6
Australia;...;3111,1;4468,6;5707,2;5744,5;5152,2;5232,3;5070,8;4867,5;4822,7;4850,2;4771,8;4768,2;4969,2;5587,7;6469,9;7472,2;9093,6;10697,6;11497,8;11114,9;10391,8;10098,3;10102,9;9677,7;9544,0;9698,7;9847,2;9899,0;10008,1;10343,1;10876,6;11613,3;12209,4;12630,2;13616,8;14277,7;14359,7;13871,9;13379,7;13267,0;13332,3;13559,8;13955,3;14484,2;14646,2;14187,0;14013,2;14264,6;14962,9;15694,9;15652,0;16271,7;16971,3;17287,4;18000,1;18628,8;19624,2;20829,9;21589,4;23215,8;23485,8;23160,5;22348,8;22154,7;24045,1;26505,1;29024,3;28972,4;28280,6;29047,3;30467,0;32539,9;32764,3;32388,0;33005,8
Japan;...;...;...;6621,5;6878,2;7749,0;8049,9;7523,9;7200,5;7355,1;7344,5;7355,5;7149,8;7319,5;7956,6;8735,5;9374,5;10127,3;10853,4;11580,7;12579,0;13781,6;15196,8;16964,4;17902,2;18344,5;19086,4;19254,4;19820,3;20957,3;22301,6;22658,6;23470,9;24244,1;25443,3;26606,1;28033,6;29267,4;30479,5;32017,4;33403,3;35038,7;35923,8;36463,6;36316,5;36304,1;36905,3;37576,7;37895,0;37938,1;37740,6;37938,5;38602,6;38794,9;38844,0;38688,8;38618,9;38126,7;37631,2;37269,0;37967,2;38103,1;38618,1;38150,0;37992,2;38398,9;39073,6;38841,4;38584,4;40526,7;41679,5;41322,2;44420,9;41782,5;48189,1;58399,3
Korea, South;...;...;...;...;189,2;474,6;526,1;754,0;648,1;765,1;811,8;787,3;820,8;952,3;787,2;744,5;782,2;1412,6;1570,5;1850,3;2133,2;2205,4;2592,1;3032,1;3050,0;3901,2;4502,8;6472,3;7693,2;9582,3;8999,8;9859,2;10215,3;10649,2;11085,0;11365,5;12287,0;13210,5;13570,7;14416,7;15332,1;15893,2;16327,0;17331,0;18129,8;18654,2;20392,4;20679,1;21188,0;20448,1;19899,6;21124,0;21728,1;22326,9;23086,0;24100,2;26065,1;27004,3;28227,5;30074,0;31964,8;32230,4;32672,0;33503,9;34518,8;35876,7;37270,4;38204,3;38907,0;40880,2;44173,5;46497,7;48523,1;47504,8;47801,9;48473,5
Albania;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;348,5;358,2;253,2;193,6;177,2;169,4;157,9;141,8;99,0;93,6;108,4;119,9;136,2;136,0;152,8;167,0;173,0;212,5;263,0;309,9;245,2;263,4;262,0;256,0;241,1;234,3;204,0;196,4;203,8;220,6;248,2;240,6;254,8;267,5;397,6;481,5
Bosnia and Herzegovina;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;437,0;304,2;272,7;227,7;218,9;216,2;224,9;247,4;230,5;203,4;200,9;194,8;189,5;195,2;193,6;186,5;193,4;194,8;195,8;231,8;201,1;197,3;211,1
Bulgaria;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;5108,7;4126,6;2234,0;1688,1;1275,8;1092,9;1075,9;882,7;824,2;953,1;1080,7;1114,1;1233,8;1244,9;1266,5;1183,4;1210,8;1198,6;1401,9;1369,6;1092,5;1030,5;856,9;858,1;925,6;865,1;877,0;939,6;974,1;1202,7;2761,3;1382,8;1470,4;1615,4;1989,7;2265,1
Croatia;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2278,3;2893,4;3251,7;3458,4;3241,3;3270,0;2521,1;1966,1;1393,2;1290,7;1396,3;1130,0;1026,7;1071,2;1082,8;1114,3;1279,4;1165,7;1080,2;1118,1;1022,0;976,7;1096,0;1091,0;1037,7;1102,4;1076,9;1168,4;1140,7;1486,1;1421,6;1439,1;1565,0
Czechia;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;3642,7;3762,8;3608,5;3580,0;3385,1;3674,4;3984,1;4113,8;3957,6;4224,5;4587,7;4404,7;4815,8;4448,7;4293,3;3660,4;3768,6;3418,8;3078,8;2959,6;2822,3;2808,4;2919,3;3164,4;3160,4;3726,8;4106,1;4503,0;4902,8;4668,0;5056,3;6676,0
