"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Albania","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Total","Age (Aggregate bands): Total","2023",63.882,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Total","Age (Aggregate bands): Total","2022",62.161,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Total","Age (Aggregate bands): Total","2021",59.684,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Total","Age (Aggregate bands): Total","2020",59.367,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Total","Age (Aggregate bands): Total","2019",60.306,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Total","Age (Aggregate bands): Total","2018",59.296,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Total","Age (Aggregate bands): Total","2017",58.057,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Total","Age (Aggregate bands): Total","2016",57.314,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Total","Age (Aggregate bands): Total","2015",55.497,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Total","Age (Aggregate bands): Total","2014",53.42,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Total","Age (Aggregate bands): Total","2013",52.418,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Total","Age (Aggregate bands): Total","2012",56.995,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Total","Age (Aggregate bands): Total","2011",59.938,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Total","Age (Aggregate bands): Total","2010",55.202,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Total","Age (Aggregate bands): Total","2009",54.993,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Total","Age (Aggregate bands): Total","2008",53.192,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Total","Age (Aggregate bands): Total","2007",48.728,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Total","Age (Aggregate bands): Total","2006",34.45,,,,"Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Albania","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Total","Age (Aggregate bands): Total","2005",34.5,,,,"Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Albania","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Total","Age (Aggregate bands): Total","2004",34.79,,,,"Population coverage: Excluding both institutional population and armed forces and/or conscripts"
