"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Albania","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2023",10.669,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2022",10.785,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2021",11.474,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2020",11.639,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2019",11.466,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2018",12.304,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2017",13.616,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2016",15.418,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2015",17.193,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2014",18.055,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2013",15.866,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2012",13.376,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2011",13.481,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2010",14.086,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2009",13.674,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2008",13.06,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2007",15.966,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Albania","ADM-EOR - Registered Unemployment","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2006",13.8,,,"Unemployment definition: Registered unemployed","Data reference period: December"
"Albania","HIES - Living Standards Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2005",6.566,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","ADM-EOR - Registered Unemployment","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2004",14.4,,,"Unemployment definition: Registered unemployed","Data reference period: December"
"Albania","ADM-EOR - Registered Unemployment","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2003",15,,,"Unemployment definition: Registered unemployed","Data reference period: December"
"Albania","HIES - Living Standards Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2002",4.615,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","ADM-EOR - Registered Unemployment","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2001",16.4,,,"Unemployment definition: Registered unemployed","Data reference period: December"
"Albania","ADM-EOR - Registered Unemployment","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2000",16.8,,,"Unemployment definition: Registered unemployed","Data reference period: December"
"Albania","ADM-EOR - Registered Unemployment","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1999",18.4,,,"Unemployment definition: Registered unemployed","Data reference period: December"
"Albania","ADM-EOR - Registered Unemployment","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1998",17.7,,,"Unemployment definition: Registered unemployed","Data reference period: December"
"Albania","ADM-EOR - Registered Unemployment","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1997",14.9,,,"Unemployment definition: Registered unemployed","Data reference period: December"
"Albania","ADM-EOR - Registered Unemployment","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1996",12.3,,,"Unemployment definition: Registered unemployed","Data reference period: December"
"Albania","ADM-EOR - Registered Unemployment","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1995",12.9,,,"Unemployment definition: Registered unemployed","Data reference period: December"
"Albania","ADM-EOR - Registered Unemployment","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1994",18.4,,,"Unemployment definition: Registered unemployed","Data reference period: December"
"Albania","ADM-EOR - Registered Unemployment","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1993",22.3,,,"Unemployment definition: Registered unemployed","Data reference period: December"
"Albania","ADM-EOR - Registered Unemployment","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1992",26.5,,,"Unemployment definition: Registered unemployed","Data reference period: December"
"Albania","ADM-EOR - Registered Unemployment","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1991",9.1,,,"Unemployment definition: Registered unemployed","Data reference period: December"
"Albania","ADM-EOR - Registered Unemployment","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1990",9.5,,,"Unemployment definition: Registered unemployed","Data reference period: December"
"Albania","ADM-EOR - Registered Unemployment","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1989",7.3,,,"Unemployment definition: Registered unemployed","Data reference period: December"
